psi,theta
6,0.371549994
5,0.371549994
5,0.371549994
12,0.371549994
21,0.371549994
24,0.36985001
25,0.368999988
27,0.368149996
28,0.368149996
29,0.368149996
30,0.367300004
31,0.36559999
32,0.364749998
34,0.364749998
35,0.364749998
36,0.364749998
37,0.367300004
39,0.36559999
40,0.357950002
41,0.35284999
42,0.351150006
43,0.347750008
43,0.345200002
44,0.34435001
45,0.34435001
45,0.343499988
46,0.340950012
46,0.340950012
47,0.339249998
47,0.337550014
47,0.337550014
48,0.337550014
48,0.337550014
49,0.337550014
49,0.337550014
49,0.337550014
49,0.337550014
49,0.336699992
50,0.33585
50,0.335000008
50,0.334149987
50,0.334149987
50,0.334149987
50,0.33160001
50,0.332450002
51,0.330749989
51,0.330749989
51,0.330749989
51,0.330749989
51,0.330749989
51,0.330749989
51,0.330749989
51,0.330749989
51,0.329899997
51,0.329050004
51,0.327349991
51,0.327349991
51,0.324800014
51,0.323949993
51,0.322250009
51,0.320549995
51,0.320549995
51,0.320549995
51,0.320549995
51,0.320549995
51,0.319700003
51,0.317149997
51,0.317149997
51,0.317149997
51,0.317149997
51,0.317149997
51,0.317149997
51,0.316300005
51,0.313749999
51,0.313749999
51,0.313749999
51,0.310350001
51,0.310350001
51,0.310350001
51,0.310350001
51,0.310350001
51,0.308649987
51,0.306950003
51,0.304399997
51,0.303550005
52,0.303550005
52,0.303550005
52,0.302700013
52,0.300150007
52,0.300150007
52,0.299299985
52,0.296750009
52,0.296750009
52,0.296750009
53,0.295899987
53,0.293350011
53,0.293350011
53,0.292499989
53,0.289950013
53,0.289950013
53,0.289950013
53,0.289950013
53,0.288249999
53,0.286549985
53,0.286549985
53,0.284000009
53,0.283149987
53,0.283149987
53,0.283149987
54,0.27974999
54,0.27974999
54,0.27974999
54,0.278050005
54,0.276349992
54,0.276349992
54,0.276349992
54,0.276349992
54,0.272949994
54,0.272949994
54,0.272949994
54,0.27125001
55,0.269549996
55,0.269549996
55,0.269549996
55,0.26699999
55,0.266149998
55,0.266149998
55,0.266149998
55,0.266149998
55,0.26275
56,0.26275
56,0.26275
56,0.26275
56,0.26275
56,0.261049986
56,0.259350002
57,0.259350002
57,0.259350002
57,0.255950004
57,0.255950004
57,0.255950004
57,0.255950004
57,0.255950004
58,0.252550006
58,0.252550006
58,0.252550006
58,0.252550006
58,0.25
58,0.249149993
58,0.249149993
58,0.249149993
58,0.249149993
58,0.249149993
58,0.247449994
58,0.245749995
58,0.245749995
58,0.245749995
59,0.245749995
59,0.242349997
59,0.242349997
59,0.242349997
59,0.242349997
59,0.242349997
59,0.242349997
59,0.239800006
59,0.238949999
59,0.238949999
59,0.238949999
59,0.236399993
59,0.235550001
60,0.235550001
60,0.235550001
60,0.235550001
60,0.235550001
60,0.235550001
60,0.234699994
60,0.232150003
61,0.232150003
61,0.232150003
61,0.232150003
61,0.228750005
62,0.228750005
62,0.228750005
62,0.228750005
62,0.228750005
62,0.228750005
63,0.228750005
63,0.228750005
63,0.227050006
63,0.225350007
63,0.225350007
64,0.225350007
64,0.223649994
64,0.221949995
64,0.221949995
64,0.221949995
64,0.221949995
64,0.221949995
64,0.221949995
64,0.221949995
64,0.221100003
65,0.218549997
65,0.218549997
65,0.218549997
65,0.218549997
65,0.218549997
65,0.218549997
65,0.216000006
65,0.215149999
65,0.215149999
65,0.215149999
65,0.215149999
66,0.215149999
66,0.215149999
66,0.215149999
66,0.215149999
66,0.211750001
66,0.211750001
66,0.211750001
66,0.211750001
66,0.211750001
66,0.211750001
67,0.211750001
67,0.210899994
67,0.208350003
67,0.208350003
67,0.208350003
67,0.208350003
68,0.208350003
68,0.208350003
68,0.208350003
68,0.208350003
68,0.208350003
69,0.208350003
69,0.208350003
69,0.206650004
69,0.204950005
69,0.204950005
69,0.204950005
69,0.204950005
69,0.204950005
70,0.204950005
70,0.204950005
70,0.204950005
70,0.202399999
70,0.201550007
70,0.201550007
